,x,tag1,tag2,tag3
442,"Merge pull requests often, clear communication in issue handling, hire developers and pay them.",responsiveness,communication channels,
443,,,,
444,Review quickly the PR to tell what's wrong and what could be done better. To be short : start a conversation.,responsiveness,compassionate,
445,"Communicate how they want pull requests handled (main branch, feature branch, etc) and respond to pull requests quickly. I recently spent hours and hours on a feature to have the pull request rejected without review because the owner wasn't accepting any pull requests because he's planning to make big changes (which he didn't detail). It sucked, so I forked his project and am maintaining my own now.",guidelines,,
446,"publish guidelines, encourage more communication between contributors,and don't let pull requests languish for weeks",guidelines,communication channels,responsiveness
447,"Provide a well-defined contributor documentation in a centralized location instead of having notes spread throughout issues, PRs, etc.",documentation,,
448,Be more active reducing number of PRs.,responsiveness,minimize queue,
449,,,,
450,,,,
451,- If a popular project goes unmaintained there should be a way still contribute.  - Clearly labelling low hanging fruit in the bug reports.,task list,,
452,,,,
453,,,,
454,good project documentation  clean source with useful comments,documentation,code readability,
455,,,,
456,Write documentation specifically targeted for people who want to hack on the source code.,documentation,,
457,"Have examples of what makes an acceptable contribution, including (especially) small contributes.",examples,,
458,"Depends on the project, I think the mindset of potential contributors themselves are the largest barriers.  I never had problems contributing to a project, as long as you realize every project is different.",nothing,,
459,,,,
460,Use the GitHub wiki to write a nice guide on how to configure the build environment and start to compile.,documentation,development environment,
461,List accessible starter issues.,task list,,
462,Public issue tracking so that I can start by selecting open issues.,task list,,
463,"Provide pull request guidelines, a documented build system and a good test suite.",guidelines,testing,
464,,,,
465,Allow you to set up quickly,development environment,,
466,Contribution Guideline.,guidelines,,
467,,,,
468,Have clear guideline  Have a list of entry level (low priority) tasks,guidelines,task list,
469,,,,
470,i find that enabling pull requests is great :)    for complex projects architecture docs and getting started guides and examples can be good (say something like Blender)    for simple projects (say some js lib for web UIs) it can well suffice just for the code to be there in a well organised manner. and the code itself being clear.,documentation,architecture to fit contributions,code quality
471,"Address pull requests (comments, review, merging, etc) not radio silence",responsiveness,,
472,"Supply developer documentation, esp. Coding guidelines",guidelines,documentation,
473,I don't know.,,,
474,Keep an active maintainer.,responsiveness,,
475,,,,
476,Make auto build on Travis.  Add test to project.,continuous integration,testing,
477,"React quickly to suggested change, be it in idea phase or in pull-request phase.",responsiveness,,
478,active project lead developers  getting answers in IRC  contributor friendly tagged issues,responsiveness,communication channels,compassionate
479,,,,
480,,,,
481,A contributor guidelines and quick response on pull request,guidelines,responsiveness,
482,good documentation,documentation,,
483,,,,
484,periodic conference calls with developers to discuss upcoming features/releases and major bugs that need to be completed.,communication channels,task list,
485,,,,
486,"Make setting up the development environment easy and quick. Have single commands for building, testing and running the project, if applicable.",development environment,,
487,"Have clear guidelines, have unambiguous tests (e.g. not a lot of infrastructure or Special Magick&trade;) required to run them, and ADDRESS THE PULL REQUESTS (positive or negative, but don't let them just rot for months on end)",guidelines,standard tools,responsiveness
488,,,,
489,"Good guidelines, well-written code, and a friendly community.",guidelines,code quality,compassionate
490,"Automate the simple stuff (license headers, white space, etc). Label ""starter"" or ""newbie"" issues, as well as ""this is a cool idea but we don't have time to work on this"" issues. Be fast with PR feedback. If you don't accept a PR, explain why. Automate testing via TravisCI or similar.",continuous integration,task list,responsiveness
491,"Maintain the project active, responsibly manage the PRs, do not reject external contributions regardless of size, review them carefully.",responsiveness,review process,
492,They can show success,,,
493,Ensure that interfaces are clean so that one can focus on a specific part of the project.,architecture to fit contributions,,
494,Just work,,,
495,"If the project is large, document explaining high-level architecture and folder structure helps. Issues that are easy to fix help new contributors get started.",documentation,task list,
496,Respond quickly to issues and PRs,responsiveness,,
497,* Run test easily,testing,,
498,Prompt feedback to new issues and pull requests. Getting started documentation. Guide describing overarching project architecture and how the pieces fit together.,responsiveness,documentation,
499,,,,
500,Have detailed and unambiguous instructions for initial setup,documentation,,
501,,,,
502,,,,
503,,,,
504,respond to issues/pull requests/list posts in a timely fashion. even just acknowledging the issue and suggesting an attack plan is immensely helpful.,responsiveness,compassionate,
505,,,,
506,Have clear contribution guidelines and streamlined review process,guidelines,review process,
507,"Easy ""How to get started"", development enironment configurations",documentation,development environment,
508,,,,
509,,,,
510,,,,
511,,,,
512,"Have a list of small, but not totally menial issues ready to be solved by newcomers.",task list,,
513,,,,
514,Be nicer. I don't mind if my request is denied. Just don't tell me I'm an idiot for my implementation.,compassionate,,
515,More clear on how they want to work with the community.,explicit call for contrib,,
516,use git,standard tools,,
517,,,,
518,Have strict guidelines about the format of pull requests. Repository control using tools like GitHub is vital. A quick response time to new issues and pull requests helps a lot too.,guidelines,responsiveness,
519,Have a list of issues that are clearly targeted for newbies (does not require a lot of prior knowledge). Helpful members and responsive mailing list. Generally positive encouraging atmosphere in comments.,task list,responsiveness,compassionate
520,,,,
521,"Provide better documentation of expected code style, contributing guide lines, and testing guide lines, and, if possible, personally guide new contributors through the process",guidelines,compassionate,
522,typically the barrier is that the required knowledge to contribute on a project is fairly high for the bigger projects.  For the smaller projects it is much easier because the needed knowledge to understand the code base is fairly small and quick to learn,,,
523,"Have engaged, regular and responsive committers to discuss with",responsiveness,communication channels,
524,keep active.,responsiveness,,
525,"No flood of open PR and issues sitting there for like 1+ year, this looks bad and unmaintened",minimize queue,,
526,"Write good, concise but solid /CONTRIBUTING.md & /README.md:s",guidelines,,
527,Up for grab items like codeplex's entityframework.,,,
528,"good documentation in and for the code, frequent use of issues and pull requests even by the project owner.",documentation,,
529,"This is more like ""speak with a girl"" you know when its the time, with the pull requests its the same think, I think the current way is very good, and the best way is try make a code with a relative propouse or a motive that will help the library, and put your heart on the code.",nothing,,
530,"(in order of importance)  Fast response in the issue tracker  Ability to run the software and test suite directly from a git clone, without installation or other intermediate steps.  Have contributor guidelines, including a detailed git workflow  Have an automated test suite, better if run by travis  Good coverage gives bonus points.",responsiveness,development environment,guidelines
531,,,,
532,,,,
533,"Better documentation, a call for more contributors on the front page.",documentation,explicit call for contrib,
534,Project leaders should give thorough guidelines for contributing and building the project if the building process is complicated and/or not automated; they should be friendly and open to communication.,guidelines,compassionate,compassionate
535,,,,
536,Reduce backlog of open pull requests,minimize queue,,
537,More pedagogic documentation for developers.  Wiki entry: features or bugfixes suggestion for newcomers.,documentation,task list,
538,- Avoid needing Contributor License Agreements.  - Be responsive. Always give an answer to pull requests or issues.,responsiveness,licensing,
539,"Provide feedback, even if it's just a rejection based on personal taste/ideology.",responsiveness,,
540,Use github  The combination of git + web is very powerful and easy to contribute,standard tools,,
541,"Have an excellent documentatuion that explains the structure (modules, files structure) & how build and test the project to make it easy for newcomers to contribute.",documentation,development environment,testing
542,,,,
543,more contributor docs,guidelines,,
544,travis-ci is useful because only we should do is just pushing branch. We must have CI.,continuous integration,,
545,,,,
546,Founders/core maintainers often play favorites with certain developers/features.,compassionate,,
547,Have good documentation. Have simple and thorough examples.,documentation,examples,
548,,,,
549,"Avoid to insist of coding style, other similar things before merging contributions. The maintainer can always change things if he doesn't like code style or others.",compassionate,,
550,,,,
551,"Active technical support is the key to success. When developers are open to discussion, it encourages others to contribute more.",communication channels,compassionate,
552,"Clear statement of whether pull requests are actively sought, and how pull requests should be formatted.",guidelines,,
553,Biggest help would be interaction with contributors and proper guidelines,communication channels,guidelines,
554,"- use GitHub instead of some less popular services (e.g. Bitbucket, Gitorious, Google Code);  - provide some issue tracking system where tickets have labels assigned by core devs like ""difficult"", ""easy pick"" etc. (e.g. system used by Django project);  - provide guidelines (coding style!) and some IRC channel (on Freenode).",standard tools,task list,guidelines
555,How to contribute guidline.  Acquaintances who has been contribute to.,guidelines,,
556,,,,
557,,,,
558,Better docs.,documentation,,
559,respond quickly to pull requests,responsiveness,,
560,,,,
561,- Creating clear issues  - assign labels to issues with easy picks  - clearly stating a CONTRIBUTING file,task list,guidelines,
562,The best thing in my opinion is to clearly outline what is expected of contributors in a document and then either have that document in the README or link to it.,guidelines,,
563,"Openly encourage pull requests, being non-judgemental is helpful.",compassionate,compassionate,
564,"Have a good guidelines how to contribute, have tests and continuous integration, have a roadmap to decide where is free area to contribute, quickly react on questions/issues/pull requests",guidelines,continuous integration,roadmap
565,Insure all code review / feedback is handled positively. Process pull requests within a few weeks. Insure contributions reference bug #. Have detailed test suite.,compassionate,responsiveness,testing
566,"Be better at responding to pull requests ;-) I know it's a tall order, but there's so many pull requests out there that don't get any response.",responsiveness,minimize queue,
567,Be consistent.,,,
568,"1) Respond to pull requests quickly.  2) Give feedback on pull requests, either by accepting or by giving a reason for rejection.  3) Strive for readable, maintainable code.",responsiveness,code readability,
569,,,,
570,,,,
571,,,,
572,Don't be assholes.,compassionate,,
573,,,,
574,I think problem is not getting new contributors. Problem is getting quality contributions. Github makes it almost too easy to send a pull request. People do not bother even to follow existing code standards etc...,not desirable,,
575,,,,
576,"Clearly explain what is needed for a pull request to be accepted (code guidelines, quality of code, requested features). Also, making sure the number of open pull request is as low as possible, and the open pull requests are actively monitored and discussed.",guidelines,minimize queue,compassionate
577,"Provide clearer up-front guidance about CLAs, expectations around prior agreement about what features would be accepted.  Ensure the project builds and runs tests cleanly in a single step with no unusual external dependencies.",guidelines,automate builds,standard tools
578,,,,
579,Document the project as it exists now and how they would like it to be in the future. Also lists of tasks that people can take on are a nice way for people to feel contributions are welcome without requiring permission.,documentation,roadmap,task list
580,,,,
581,,,,
582,,,,
583,"More communication, clear guidelines of how to contribute, and receptiveness/positive handling of any and all contributions.",communication channels,guidelines,responsiveness
584,Make it as easy as possible to understand the code. Have a simply build process to validate any changes.,code readability,automate builds,
585,Don't use separate Issue tracking.  Give feedback to PRs,responsiveness,standard tools,
586,,,,
587,"Mark submitted issues as ""novice friendly"" or similar. Adding contribution guidelines files.",task list,guidelines,
588,Include a list of low-priority changes or bugs for new contributors to work on.  Better document how to initiate contact with repo core team.,task list,guidelines,
589,It is already pretty easy.,nothing,,
590,Guides,guidelines,,
591,clearer guidelines on workflow and acceptable PRs,guidelines,,
592,,,,
593,Good development documentation.,documentation,,
594,,,,
595,"Identify feature requests / bug fixes that should be easy for new contributors.    DO NOT use strict style checking code, such as flake8 or jslint. It is a waste of everyone's time.",task list,,
596,,,,
597,"Good documentation with own chapter ""Contribution Guideline""",documentation,guidelines,
598,Don't know.,,,
599,,,,
600,"To claim, that people should not be silent, then they see a bug, not translated text or similar.   Show way how to contribute.  To give fast feedback about your bug report/ pull request - it very motivates.",compassionate,guidelines,responsiveness
601,"Providing downloadable binaries for several platforms would be a huge benefit. The biggest problem taking on new projects is having to build them in the first place, just to see what they do.",development environment,,
602,Respond to issues quickly; have a good test suite a documentation on how to run it.,responsiveness,testing,documentation
603,Have up to date architecture documentation. Having to figure out the layout of a code base by detective work is hard.,documentation,,
604,http://symfony.com/blog/the-symfony-core-team-is-back,,,
605,Make sure it's easy to submit pull requests.,,,
606,,,,
607,,,,
608,,,,
609,"1. Good automated testing including integration testing. so contributors could be sure they won''t break anything.    2. quick and polite responses     3. tagging issues as ""fitted to new contributers""    4. explanation and examples of testing startegy and testing tools used",testing,responsiveness,task list
610,,,,
611,Maybe describe strategic plans for future development direction for a project. It should help understand right direction for writing code.,roadmap,,
612,Spent more time on accepting and documenting code.,responsiveness,documentation,
613,Good quesstion. I have no idea :-),,,
614,,,,
615,Spam more,,,
616,have tests and automate testing compilation systems. Have open issues that are interesting. Give commit access easily.,testing,task list,
617,Have a visible and active community.,responsiveness,community visibility,
618,,,,
619,Provide guidelines on how to contribute and good documentation.,guidelines,documentation,
620,"* encourage pull requests in readme  * Provide a one click experience to provision and configure a project development environment for me to work on my contribution.  * Projects that with unusual conventions, no conventions, poor organisation, un-readable code and no documentation, or no high level behavioral tests",compassionate,development environment,
621,"Provide a roadmap, or pointers on how to send their first pull request",roadmap,guidelines,
622,,,,
623,,,,
624,Provide feedback on rejected pull requests.,responsiveness,,
625,,,,
626,NA,,,
627,,,,
628,"PR guidelines, quick feedback (not necessarily action) on PRs",guidelines,responsiveness,
629,,,,
630,Provide build and test instructions for various platforms.,documentation,,
631,I'm don't know,,,
632,"Be friendly and accessible never hurts. I doubt it should be a project goal to have many contributors. It sounds great at first sight, but the quality of the work decreases.    A vcs is another barrier. It's great if you understand it, but new users are mostly just heavily confused. git adds a few layers in being technically orthogonal rather than providing intuitive primitives. (git branch does everything with branches, except switching).    In my view, pull requests add another barrier. They are a logical extension when you're in the mindset of vcses, but I see people struggle with them.",not desirable,,
633,"Documentation, list of ToDo",documentation,task list,
634,Improve code review.,review process,,
635,,,,
636,"labels like 'new comers', 'easy to pick'. Helpful and supportive in pull requests, IRC,  issue tracker.",task list,compassionate,
637,Easier communication about potential pull requests.,communication channels,,
638,"ToDo lists, CONTRIBUTING.md, have somewhat recent (past 4 months) PR accepted, reply to issues with in a week.",task list,guidelines,responsiveness
639,,,,
640,"Better human organization to understand what contributors' priorities are and how they relate to the project's goals.  I'm dissuaded from contributing when I see lots of effort poured into flashy features I see as unimportant, in preference to fixing bugs that are showstoppers for my own use of the software.",task list,contributors priorities,
641,Include notes about building and testing the project.,documentation,,
642,"Provide suggestions for easy tasks, provide feedback and encouragement, provide pointers to good examples in existing codebase (very important for large complex projects).",task list,compassionate,examples
643,"Rapid triage of new requests, proper documentation, good code comments, properly modularized code.",responsiveness,documentation,architecture to fit contributions
644,Contributor guidelines are a BIG plus.,guidelines,,
645,I think using git is tricky at times specially for new users. I think will be good to provide some simple examples for people new to git on how to contribute to the project. I know git has it and github also provide examples but maybe the code owner can also provide some simple guide lines.,examples,guidelines,
646,- provide ready means for upfront communication about features.  - deal with PRs quickly even if that means closing them  - have written guidelines.  - if you care about style an automated tool for linting.  - have runable tests,communication channels,responsiveness,continuous integration
647,,,,
648,Communicate,communication channels,responsiveness,
649,"Walkthroughs of recent simpler pull requests, including background.",documentation,,
650,Provide code format compatible with ides,development environment,,
651,"Better guidelines and some place to have a discussion.    Guidelines don't have to be fully documented -- something as simple as ""here's a sample file, make your contributions fit this style"". The rest is up to the developer to read through and understand.    Be open to questions.",guidelines,communication channels,responsiveness
652,,,,
653,Have fewer assholes,compassionate,,
654,,,,
655,I only collaborate with people I meet at least weekly. There are no barriers in those projects.,nothing,,
656,"Describe testing expectations well, and make it easy to understand how to:   - Run existing tests   - Write new tests    Have a good onboarding process for new developers. Be very encouraging of people who are willing to contribute, even if they don't follow the proper protocol initially. The OpenStack project has an #openstack101 channel IRC devoted entirely to helping new contributors.     - For users unfamiliar with Git, submitting a non-trivial pull request is probably pretty tough.",guidelines,compassionate,communication channels
657,make their needs clear,contributors priorities,,
658,Documentation and guidelines are crucial.,documentation,guidelines,
659,Offer a clear document explaining what they require before a pull request gets merged (examples would always be nice!),guidelines,examples,
660,Tag issues that are suitable for newcomers,task list,,
661,"More automatic testing of PRs, more assurance for new contributors that they're not introducing bugs (reduces ""first contribution stress""), more reviewing.",testing,review process,
662,"Have a well-defined readme, with a clear guide on what the planned future for the project is, or a guideline for which features or bugs need to be worked on. Projects which are documented as ""Work in progress, experimental, may or may not build on this/that platform, not tested"" are a red flag.",roadmap,task list,
663,"Use standard tools (i.e., use GitHub for everything). Merge pull requests quickly. Be kind and welcoming.",standard tools,responsiveness,compassionate
664,"Good documentation how to set up your dev environment, contribution guidelines if applicable, conceptual level documentation.",documentation,guidelines,development environment
665,Invite them to contribute something! Explicitly stating that new contributors are welcome will definitely increase the number of those. :-),compassionate,,
666,"Make sure new PRs get speedy review, especially from the core team that will have to maintain whatever is submitted.",responsiveness,review process,
667,,,,
668,give me an estimate on how long they will take to at least respond to the PR,analytics,,
669,More documentation and more open discussion,documentation,compassionate,
670,Actively review PRs when sent and communicate with me before I do the work to create the PR.,review process,,
671,Have better documentation and associated gh-pages branches.,documentation,,
672,,,,
673,Engaging project lead/core team that is reachable and friendly on IRC/Mailing Lists,compassionate,communication channels,
674,"quick response time to issues and ideas.  Keep a good discussion forum going (google groups, etc).    Good documentation for project architecture, if any.",responsiveness,communication channels,documentation
675,"Offer wanted lists, e.g. what a project needs doing",task list,,
676,,,,
677,Make source install issue.,,,
678,,,,
679,,,,
680,,,,
681,Provide lists of low-hanging fruit,task list,,
682,,,,
683,the existence of guidelines and leadership,guidelines,availability,
684,swift reaction to PRs,responsiveness,,
685,,,,
686,,,,
687,publish how to commit,guidelines,,
688,,,,
689,,,,
690,"Display a metric for average days per PR. People contribute when the have a problem.  If they can have an expectation of lead time for resolution, it would incentivize them to help address the problem.",analytics,,
691,,,,
692,,,,
693,Include contributor guidelines and roadmap,guidelines,roadmap,
694,?  I'm on only one project,,,
695,Simple yet complete README,guidelines,,
696,,,,
697,Have clear contribution rules.  All maintainers should agree on all contribution and project rules.  High standard review process.,guidelines,review process,
698,"Generally, it's good to know that your work as a contributor will actually go somewhere. It's important to have visible examples of things happening regularly (pull requests being reviewed/merged/closed, etc.), and it's important to have some way to communicate with the core team other than through pull requests/issues. Pull request guidelines help, but without a way to have an actual conversation with somebody on the core team, a contributor's first contact with the project team will be in the context of code. That can be very intimidating for fear that the reaction will be ""you have done this wrong"" instead of ""thank you for your contribution; let us help you get this figured out.""",availability,compassionate,communication channels
699,"Encourage people to contribute and activate communicate in Issues, mailing lists, IRC etc.",compassionate,communication channels,responsiveness
700,,,,
701,"Provide examples in the README, get people interested in the project.  Make it easy to get started",examples,development environment,
702,"Make it easy to get started, example tests. Would be great if GitHub had standard fields to make links to guidelines easy to be found.",examples,guidelines,
703,Tag easy issues,task list,,
704,"Open more channels for interactive communication, pull requests are not made for this. In fact very good discussions in pull requests are just lost after the pull request is closed, since they are not indexed/archived by google together with the relevant code.",communication channels,traceability for comments,
705,,,,
706,,,,
707,,,,
708,"Use standard system like github, have clear expectaions, respond in a friendly and timely fashion.",compassionate,compassionate,responsiveness
709,,,,
710,"New contributors that are interested in a long-term role could be given a chunk of the firehose of tasks, issues, pull requests, etc., so that they feel like they are part of the process.",task list,compassionate,
711,"Setup guides on how to run locally or in a test environment, project structure, and a good test suite.",guidelines,development environment,
712,Not sure?,,,
713,,,,
714,Contribution and testing guidelines,guidelines,,
715,,,,
716,Clearly document how contributions are accepted.,guidelines,,
717,,,,
718,Communicate simple bugs to fix. Welcome new contributor.  Encourage innovation.,task list,compassionate,
719,write clear documents,documentation,,
720,easier identification of bugs the maintainers think are appropriate for new developers,task list,,
721,,,,
722,To have mentored bugs/features to help new contributors to know better the project so they have an easier entry point to start contributing.,compassionate,task list,
723,Be more flexible with contributiuons guidelines,compassionate,,
724,guidelines,guidelines,,
725,Make it clear how to contribute in their website and respond to contributors' queries timely,guidelines,responsiveness,
726,,,,
727,"roadmap, guidelines, friendly atmosphere",roadmap,guidelines,compassionate
728,"I usually contribute to projects I have some way of knowing my pull request will be accepted provided I've accomplished what I've set out to do in an acceptable manner. Typically this is done through IRC or email, though sometimes a repo will make it clear that certain features are being looked for, or that certain types of cleanup and improvements are welcome, and in those cases I can bypass needing to discuss with someone in advance.",compassionate,task list,communication channels
729,,,,
730,,,,
731,"When anyone open a issue, the project owner say: ""send a PR""",compassionate,,
732,,,,
733,"Define contribution guidelines and offer support info on how to contribute (using git, discussion, etc)",guidelines,communication channels,
734,,,,
735,Create useful documentation and coding guidelines.,documentation,guidelines,
736,"List of low-hanging fruit issues which new contributors can take a look at; source code docs, so that one is able to figure out what something does in the larger scheme of things (specially if the project is massive), an active development IRC channel and mailing list, constructive code reviews",task list,documentation,communication channels
737,Inviting communication on the project website.  Fair treatment of PR from newbies.  Help newbies with things like rebase etc.  Step by step tutorial for contributing (specific to the topic/project).,compassionate,guidelines,
738,write contributing how-tos like https://github.com/burke/zeus/blob/master/contributing.md,guidelines,,
739,Take a look at what happened to OpenSSL - maybe it would be better the other way round.,not desirable,,
740,"Documentation, easy to read code.",documentation,code readability,
741,"Good IRC system, when you can contact.  Some documentation.",communication channels,documentation,
742,"Missing option for question 17: the only thing that matters for me to decide which project to contribute to, is whether the project is somehow useful to me, and whether I can make a useful contribution. All the other stuff about roadmaps and bugtracking hardly matters.",,,
743,Internationalisation is a key topic for lower barriers,i18n,,
744,,,,
745,Just use Github and a clean and easy getting started documentation.  Examples ect.,documentation,examples,
746,,,,
747,"it should be easy to find the related code. A wiki explaining the project structure, a sane project structure, readable code and occasionally code comments can help finding the right piece of code.  Contributor guidelines.  Respond quickly and friendly to PRs.",documentation,guidelines,compassionate
748,have continuous integration setup for the Pull Requests  have a simple way/instructions to create the dev environment (or even access to a dev environment already setup or a vm),continuous integration,development environment,
749,Clear coding style guides,guidelines,,
750,Be more responsive,responsiveness,,
751,Very responsive google group did really convinced me to contribute to atk4/atk4,responsiveness,communication channels,
752,Know who is active developer on irc.,communication channels,,
753,,,,
754,"that depend on the project, but having more reviewers is usually better",review process,,
755,Have dedicated issue/pull-request triage process and have that documented.  e.g. so I know that someone will look at and comment on my pull-request within a given timeframe.,review process,guidelines,responsiveness
756,,,,
757,Prepare the FAQ and/or other documentation and keep it in a shape.,guidelines,,
758,,,,
759,More feedback,compassionate,,
760,Appreciate other people work even if they are not up to quality and have to me refused,compassionate,,
