,x,tag1,tag2,tag3
451,"If the tests pass, and my coding style mimics the project I'm working on.",testing,project compliance,
452,test scripts  CI (Jenkins),testing,continuous integration,
453,Test coverage of new code and running samples,testing,testing - manual,
454,with a small test program,testing,,
455,"Testing, ask for feedback",testing,advice,
456,Travis,continuous integration,,
457,"I judge it based on what I'd want to see from someone else, but I also know that I will get lots of feedback before the the pull request is accepted.",code review - after,,
458,"unit tests, code review",testing,code review - self,
459,"Testing, rereading the code.",testing,code review - self,
460,First I try to test my changes both on PC and on other devices that can run LK8000. Sometime I write some unittest functions (but I do not commit them) to ensure everything is correct.  Then I ask other contributors to review the code in the branch in my fork that I'm willing use for the pull request.,testing,code review - self,
461,"The packages I contribute to require unit tests plus good documentation. There is a (usually strict) code review process, especially for new committers.",testing,documentation,code review - after
462,Coding guidelines  Unit tests  System tests,project compliance,testing,
463,I perform manual and automatic tests.,testing,testing - manual,
464,Testing,testing,,
465,"CheckStyle, PDM",static analysis,,
466,My best.,,,
467,Test suite,testing,,
468,Manual Test.  Smoke Test.  Occasionally Functional Test.,testing - manual,testing,
469,Tests,testing,,
470,"test feature, run tests (or at least view examples etc).    review the diff on github, usually quite carefully: files changed to avoid mistakes & read the code line changes.",testing,code review - self,
471,"Has good tests. Sometimes more deletions than additions looks good, if I'm fixing a bug rather than implementing new feature.",testing,self appreciation,
472,"Reviewing diffs, testing functionality",code review - self,testing,
473,"I build and run code that uses my changes.  I look at the Travis build results, which builds our code and runs our regression tests.    I also try to ensure that the only changes in the pull request are related to the main issue that the pull request is about.  So I try not to have big code reformats or refactorings in a pull request that is a bug fix.  I save those for separate pull requests.",building,continuous integration,self contained
474,Does it cover my case and proximal cases? Does it run for all those cases? I should really write more unit tests...,self contained,testing - manual,
475,guidelines,project compliance,,
476,Run tests of project.  Follow coding style of file where make change.  Add test case for my change.,testing,project compliance,
477,"Self-review, testing, comparing to HW documentation if any is available.",code review - self,testing,
478,Looking through all changed files in my IDE before commiting.,code review - self,,
479,I test it and make sure that it adheres to the general coding style of the project,testing,project compliance,
480,create/run unit test,testing,,
481,Test locally and check the CI result from travis,testing,continuous integration,
482,hands on/interactive testing,testing - manual,,
483,Code's good. But description is often lacking,,,
484,I verify that I have enough unit tests and that the feature / bug is properly working,testing,testing - manual,
485,By eye.,code review - self,,
486,"Run tests, do my own review",testing,code review - self,
487,"Does it fit with the existing style, do the existing tests run before and after my change, is the change small enough that it can be digested and decided upon, is the change something that would benefit the community",project compliance,testing,self contained
488,test,testing,,
489,I check whether it runs (obviously) and whether or not I deem the code style to be good enough.,testing - manual,self appreciation,
490,"Tests, and manual validation.",testing,testing - manual,
491,"Asking or reviewing it with colleagues, looking at the results of the tests, coverage, codeclimate...",code review - self,testing,static analysis
492,Usual it's great but sometimes it's not so I can't merge with my friend and test in the robot,,,
493,Automated CI testing and code reviews from teammates.,continuous integration,code review - self,
494,Test it on device,testing,,
495,"I review all the changes that will go into the commit, make sure tests pass, and that history is clean.",code review - self,testing,self contained
496,"I test it locally, and run the test suite",testing,,
497,* Has test?  * Not enbug?,testing,,
498,"Look at the functionality from a user's point of view. Is the functionality obvious? Is there enough information to get started with the feature? How does it work? What does it _do_?    Additionally, I like to explain the contents of my changes, and the makes sense behind technical decisions. This forces me to think about whether other developers can understand my code, whether the commits are logical and atomic, and whether the reasons for my implementation decisions are justified. Sometimes I will change things as a result.",self contained,documentation,
499,run test suites,,,
500,Verifying test coverage and extent to which I've documented my code.,testing,documentation,
501,"If multiple commits, does reverting any single one still make sense. Squash into one commit otherwise (easier to see changes)",self contained,,
502,by Ruby style guide; OOP/OOD books.,standard practices,,
503,I just review my changes and if they look good I submit the pull request.,code review - self,,
504,"unit tests, reviews",testing,code review - self,
505,I'm the project owner so it's my own judgement,code review - self,,
506,CI unit tests + manual tests,continuous integration,testing - manual,
507,Testing and review all changed lines,testing,code review - self,
508,Compilation and testing with any test examples,building,testing,
509,"Ussually are minor fixes, so just test by myself.",testing,,
510,This makes no sense to me: the request either works or adds no value,makes sense,,
511,Have tested and often incorporated into a local project,testing,,
512,"I make sure it works on my local copy, and check for any unremoved debugging commands.",self contained,,
513,make sure it satisfies the contributing requirements,project compliance,,
514,Poorly. I'm struggling with git.,,,
515,Is it ready for others to review.,self contained,,
516,test run,testing,,
517,"Tests, review the patch, discuss changes on pull request boards and I'M.",testing,code review - self,discussion
518,"I make sure that my git diff is equal to the current master branch, then only commit my code changes before submitting the pull request.",self contained,,
519,"Manual code review. Running automated test suites. Running pylint,",code review - self,testing,static analysis
520,Test code,testing,,
521,"Ensuring the code compiles, pre-testing the compiled code, comparing my style/methodology to that of the surrounding code",building,project compliance,
522,don't review it.  try to make pull requests small as possible.  Make sure it works though.,self contained,,
523,"Read the diff, test the topic branch tip",code review - self,testing,
524,local testing.,testing,,
525,I review the code + test + docs,code review - self,testing,documentation
526,"Running tests. Assessing code coverage in tests and adding for new features/fixes/changed behaviours.    (After: Travis ci, peer review.)",testing,continuous integration,coverage
527,Diff review,code review - self,,
528,continuous integration (travis-ci) + local tests + git complaining about white space,continuous integration,testing,static analysis
529,"First I do a unit test when its possible and after I test it again with real cases on a test servers and review the codes many times as needed, since submit a request with duplicated code is bad.",testing,testing - sandbox,code review - self
530,"running the test suite, running some ad-hoc tests.  running diff and reviewing the changes.",testing,code review - self,
531,Test cases,testing,,
532,Good,,,
533,"If my code doesn't break anything, and isn't itself broken, i'm happy.",building,,
534,By running linting utilities,static analysis,,
535,"I program like an almighty deity. I do not ""assess"" my code",no assessment,,
536,"Clean history, has tests, commented and documented code",self contained,testing,documentation
537,"Check test, documentation, and comments in the code. Run test suite.",testing,documentation,
538,I always try to include tests and integrate the project into a real-world problem,testing,address issue,
539,"Linting, running existing tests.",static analysis,testing,
540,"Write clean code, verify, test",testing,code review - self,
541,I don't,no assessment,,
542,Check the guidelines and try to put myself in the receivers place,project compliance,,
543,"Test, then check the diff when opening the PR",testing,code review - self,
544,I always pass the tests. travis-ci is useful.  But project owner knows more than test code. Communication on pull request is required.,testing,continuous integration,code review - after
545,PHPCS,static analysis,,
546,"Read it, Go for a walk, then read it over again",code review - self,,
547,"Run the test suite of the package, if it has one, and test the changes manually.",testing,testing - manual,
548,tests,testing,,
549,"Reading my own code multiple times, see if I can simplify things.",code review - self,,
550,???,,,
551,1. I try my best to avoid any code smell in the first place so I don't have to take any special measures to improve the code before sharing it via the pull request. 2. I look at other pull requests to see what folks might probably expect from code submitters.,project compliance,,
552,Whether it works.,makes sense,,
553,Eyeballing,code review - self,,
554,- CI system (Travis)  - peer reviews  - analizing diffs,continuous integration,code review - self,code review - self
555,Just running the code. Sometimes writing tests.,testing - manual,testing,
556,travis,continuous integration,,
557,"By testing it, and having other contributors review the code.",testing,code review - after,
558,We have clear rules about what a good pull request looks like.,project compliance,,
559,"writing tests, using puppet-lint",testing,,
560,I just submit,no assessment,,
561,- Looping at similair pieces of software.   - Creating a WIP PR and ask for feedback.,project compliance,code review - self,
562,"My goal is for the diff to only contain relevant changes.  For example, if I'm adding a new feature, the pull request shouldn't have commits that reformat whitespace in the code.  Additionally, each commit should leave the code so that it at least compiles even if all the tests do not pass.",self contained,building,testing
563,Usually by submitting tests along with the source code changes,testing,,
564,"Unit testing, code reviews",testing,code review - self,
565,"Follow software development best practices and project guidelines to the best of my ability, use IDE to view differences and insure only desired changes are included, execute against latest version of source code plus my changes.",standard practices,project compliance,testing - manual
566,It builds on both Fedora and RHEL,building,,
567,test,testing,,
568,"Try to:    - match code style  - add matching unit tests if they have tests  - match documentation style when updating or adding to docs    Basically, if the author wouldn't be able to tell the difference between their code and your code/tests/docs in a month, that's probably a pull request that'll be accepted. Pull requests that have differing code style, missing tests or lack of documentation (all compared to the levels of those things in the project) are less likely to be accepted.",project compliance,testing,documentation
569,Very good,,,
570,I run a full compile of the entire project on Linux to make sure I haven't broken anything while fixing Windows specific issues,building,,
571,"Review, try to force tests, testing - manually by feching feature brach locally",code review - self,testing,testing - manual
572,Run automatic tests (via continuous integration) and test the software in the target device several times.,testing,continuous integration,
573,good,,,
574,Check that it matches coding standards and passes all tests.,project compliance,testing,
575,Reviewing the code,code review - self,,
576,I test extensively with my local code repository and make sure the code is clean and well-documented. A pull request is always evaluated by the main repository owner before being accepted.,testing,documentation,code review - after
577,Completeness of implementation  Adequate unit tests  Backward compatibility  Cross-browser compatibility  Likely performance implications,self contained,testing,
578,Suricata has a set of automated tests.,testing,,
579,While developing I make sure my commits are small and conform to any project guidelines. I also do a quick review of my branch's change log (git log master..my-branch),self contained,project compliance,
580,nothing,no assessment,,
581,test it,testing,,
582,Local Testing & Applicability,testing,,
583,If it includes tests; testing - manually; reviewing code.,testing,testing - manual,code review - self
584,"Compile locally, check that formatting and PR guidelines are met. Integration tests and Checkstyle and run by PR validation builds.",building,project compliance,static analysis
585,"Test locally, run Unit tests using Travis.org",testing,continuous integration,
586,"Clean, tested. Atomic commits.",testing,self contained,
587,It needs tests that fail before the PR and pass after. Preferably documentation as well.,testing,documentation,
588,I check that each commit contains a logical step in the process. I check for good commit messages.,documentation,self contained,
589,Test to see if it Works for Me.,testing,,
590,CI,continuous integration,,
591,descriptive comment,documentation,,
592,I don't,,,
593,Testing and let the reviewers in the pull request decide if it needs any more work.,testing,code review - after,
594,Review myself,code review - self,,
595,"I preview the diff in GitHub, and may rebase to remove typos, mistakes.",code review - self,,
596,Mainly by eyeballing the diff; I expect fellow contributors to comment on the pull request if there are concerns. The project is small enough not to need extra pre-screening.,code review - self,code review - after,
597,We are using Travis to check the build.,continuous integration,,
598,"Not, really :P  If it works for me, I guess.",,,
599,Test it,testing,,
600,Test myself in QtLinguist preview of translation and in compiled version in build.opensuse.org (openSUSE Build Seervice),testing - manual,building,
601,"I always test it manually, and write coded test cases to prove it solves a problem.",testing - manual,testing,
602,Run tests; ask for feedback,testing,advice,
603,Get it to pass tests. There's code review before pull requests are accepted.,testing,code review - after,
604,"With the help of my ide I check CS, run the test suite, and after submitting the PR I wait for feedback from the automated QC tools, like Scrutinizer or SensioLabs Insight",testing,static analysis,
605,I create / run tests,testing,,
606,I test it,testing,,
607,running automated tests,testing,,
608,"unittest code coverage, documentation for classes and public methods",testing,documentation,
609,I try to submit only tested code. but mostly through pear review after submitting,testing,code review - after,
610,some tests,testing,,
611,write test or test manually,testing,testing - manual,
612,"Review. Add further comments, discuss the importance and weaknesses.",code review - self,,
613,I wait for feedback from other developers,code review - after,,
614,Building and testing,testing,building,
615,More than sending spam.,,,
616,run tests and build with different version of the compiler,testing,building,
617,"Ensure it changes only the code necessary to accomplish its task (e.g. fix a bug, implement a feature, etc.).  Also ensure any substantive change is accompanied by a corresponding test.",self contained,,
618,"Run tests, write test cases.",testing,,
619,I check if it respects the project's guidelines.,project compliance,,
620,"read the code, make sure code is readable, look for any useful tests",code review - self,testing,
621,"If nothing breaks, it's good",building,,
622,review,code review - self,,
623,Through automated aún manual testing,testing,testing - manual,
624,est,,,
625,No rigorous assessment. PR discussions usually critique my code.,code review - after,,
626,Mostly by manual testing,testing - manual,,
627,"Covering it with tests, asking other team members to review it, deploying and testing it on target platform",testing,code review - self,
628,"Passes tests, clearly described in PR description, addresses issue at hand and looks for unintended consequences",documentation,testing,address issue
629,"Unit tests, code review and manual testing. Occasional deployment to a test cluster with a verification suite.",testing,testing - manual,code review - self
630,I apply the same standards I use for any professional code changes.,,,
631,.,,,
632,"Testing compilation, testing executing (unless trivial refactoring), code review of the patch",building,testing - manual,code review - self
633,I submit the pull request and the product owner checks the code.,code review - after,,
634,"With unit and lint tests, and my personal review.",testing,static analysis,code review - self
635,I run the tests and wait for travis to test too.,testing,,
636,Check whether pull requests description is clear and add tests,documentation,testing,
637,"informally, I've always included tests for new function",testing,,
638,Visually review PR.  jsdelivr/jsdelivr is an unique repo since it is essentially a dev -facing archive for a OSS CDN.,code review - self,,
639,Manual testing + having it deployed in our own CI. Unit testing is not very feasible for FAKE due to it's very scripty nature.,testing - manual,continuous integration,
640,"Most of my pull requests are intended to fix specific bugs, so the main thing is:  testing to see if the bug in question is fixed.  I also check for basic compilability, and reread the code to check for obvious interaction problems with other parts of the code base.",testing,building,code review - self
641,"Make sure I have unit tests for all changes. Use the changes in a sample project, or other project.",testing,,
642,"Making sure I have good test coverage (unit and integration tests), comparing my code to existing code.",testing,project compliance,
643,We have extensive test suites (riak is an open source project with a commercial version).  The typical practice is to do manual testing and then encode the most useful of those tests as regression or integration tests.,testing,testing - manual,
644,Run existing unit tests and add new tests if I am adding functionality or the test is missing.,testing,,
645,I test my codes and make sure they are correct and produce the expected results. I amke sure the code is clean and avoid cluttering things.,testing,makes sense,
646,Testing via sandbox deployments.,testing,testing - sandbox,
647,i use it myself,testing - manual,,
648,QA Testing,testing,,
649,"This particular project is developing a technology standard, so it's text. I reread in context.",code review - self,,
650,Check diff,code review - self,,
651,"Test locally on my dev machine and another machine, then submit the pull request, or (less frequently) ask others to try it out from my fork before submitting pull request.",testing,testing - peer,
652,Live testing of the changes/features added by the pull request.,testing - manual,,
653,I don't really. I expect the maintainer will assess it and make recommendations for improvement.,code review - after,,
654,I did not. The community did.,code review - after,,
655,"We have a fixed set of automated tests that I perform manually. Once my code ended up in the master branch, a build server runs those tests with even more combinations of configurations options over night.",testing - manual,building,
656,Run tests to make sure it works.    Visual inspection of the code.,testing,code review - self,
657,testing of the feature,testing,,
658,"I write failing tests, then ensure they pass. Sometimes I seek guidance from the team before beginning.",testing,advice,
659,"If it has good code, with accompanying tests and documentation",code review - self,testing,documentation
660,Run JSHint and unit tests using Grunt,static analysis,testing,
661,"dolphin-emu/dolphin has an extensive CI system that runs on every PR and checks for build issues, tests breakage and some coding style related problems. Then, we require at least one trusted contributor LGTM-ing the PR and no open comments unresolved before merging a PR.",continuous integration,testing,static analysis
662,"More lines added equals more complexity, and requires a greater time reviewing. Additionally each commit should be atomic, meaning a project should be buildable when checking out any commit (IOW a single commit does not depend on a future commit). The code should follow the project style guide, and be well documented but not to the point of creating noise through excessive documentation.",self contained,project compliance,
663,Make sure the relevant tests pass. Make sure it satisfies the project's quality standards.,testing,project compliance,
664,"- I review the review and rework the changes several times, sometimes I submit a preliminary PR for discussion purpose  - I test my work  - If applicable, I write test code alongside the implementation",code review - self,code review - after,testing
665,"If it is a change in the documentation, or an added image, stuff like that, I can't really ""test"" the quality of my requests. If I am 100% sure that the code I've added works (for example, when I modified a line in the default configuration file of a project), I don't test it specifically on my computer. If I am going to contribute something which could have errors, I compile the new code on my own computer/server first to see if I have done a mistake / broken something.",building,testing,
666,"I run the validation scripts provided in the repo (even though I wrote most of them), and make sure that it follows all the conventions of the repo (surrounding code, etc).",project compliance,,
667,"As I've been working on Javascript project, I use JsHint to check if my source code form respects the defined rules",static analysis,,
668,if i have tests that prove things work,testing,,
669,Manually and through tests,code review - self,testing,
670,Run tests and review code 2 or 3 times.,testing,code review - self,
671,Does it pass the tests and contain sufficient documentation for doxygen to autogenerate the docs successfully?,testing,documentation,
672,:),,,
673,Tests,testing,,
674,Test code,testing,,
675,check that it will merge cleanly,commit quality,,
676,using travis / scrutinizer CI services,continuous integration,,
677,"If there are tests, documentation, it works, and is beautiful.",testing,code review - self,
678,I compare my code to the existing codebase.,project compliance,,
679,Testing,testing,,
680,.,,,
681,run tests,testing,,
682,"adding test, running tests",testing,,
683,"It's generally CSS/SASS, so I just discuss with the team and do some basic browser testing",discussion,testing - manual,
684,Running the tests,testing,,
685,I check my commits (diff),code review - self,,
686,"Tests, tests and moar tests",testing,,
687,what issue is this suppose to solve,makes sense,address issue,
688,i test the correction on my main branch,testing,,
689,test,testing,,
690,"Test coverage, feature detail to issue requirement",testing,address issue,
691,Test cases for the project and extend to my request,testing,,
692,good,,,
693,By writing tests to verify that the new feature works correctly,testing,,
694,Hoping it will work and knowing project leaders will review and suggest improvements,code review - after,,
695,Running project's test suite. Reviewing my branch code on github or `git show`.,testing,code review - self,
696,.,,,
697,I review my code.  I check that it does not break anything somewhere else in the project's code base.  I build it.  I test it if possible.,code review - self,building,testing
698,"Testing (both manually and by running unit tests). Generally, we use pull requests as our means of code review, so submitting (but not merging) the pull request is a way to ask for review.",testing,testing - manual,code review - after
699,I always diff the code and manually read the changes.,code review - self,,
700,Manual testing,testing - manual,,
701,Review and test it,code review - self,testing,
702,"automated tests, independent Continuous Integration, manual/visual review, code style validators, static code analysis tools.",testing,building,static analysis
703,"I look through the log and diff to see if there are unnecessary changes (fixes that can be squashed, whitespace issues)",code review - self,,
704,"build must pass, unit/acceptance tests must pass, manual tests before big pull requests.",continuous integration,testing,
705,By using the RSpec testing inside of the project and by following the Travis CI tests,testing,continuous integration,
706,Run all the static analysis tools and do an actual end to end test.,static analysis,testing,
707,Rather good,,,
708,Run existing tests and create new ones,testing,,
709,I run tests,testing,,
710,1) build success/failure  2) tests success/failure  3) does my code give me gas or make me feel morally wrong?,building,testing,self appreciation
711,Unit tests and testing in the target application I'm adding work to support.,testing,,
712,By running phpunit before comitting and reviewing the code in the PR files tab to make sure nothing looks out of place.,testing,code review - self,
713,I compare the branch to master,code review - self,,
714,simplicity and clarity of the commits,self contained,,
715,n/a,,,
716,Check for conformance of the guidelines as well making sure it harmonizes with the code already there.,project compliance,,
717,Unit testing,testing,,
718,Testing,testing,,
719,fully test on my devices.,testing,,
720,I don't. I allow the PR itself to stand for code review,code review - after,,
721,I write unit tests.,testing,,
722,unittesting,testing,,
723,Code audit / code test / code quidelines,code review - self,testing,project compliance
724,"run tests and linters, compare code to the rest of the project",testing,static analysis,
725,Make sure all test passes,testing,,
726,Passing test suite,testing,,
727,"By making sure tests are working as expected and dint break anything,  also glancing through git diff",testing,code review - self,
728,"I compare the code to the rest of the project and make sure I've matched the practices used, I'll do some extensive testing on a few platforms and look through the rest of the code to see if anything seems like it might conflict (in very large projects ""the rest of the code"" would be the module and anything that module directly interacts with)",project compliance,testing,
729,check,,,
730,"tests, guidelines, experience",testing,project compliance,
731,I running tests,testing,,
732,Integration test,testing,,
733,"Travis is set up as a service hook, tests must pass",testing,continuous integration,
734,Passes local testing envrionment,testing,,
735,"There are some basic guidelines, but mostly I don't worry too much about quality checks before sending a pull request. Pull requests are peer-reviewed and can be subsequently modified before they are merged.",code review - after,project compliance,
736,"Code review, rubber ducking if need be, integration tests (unit tests, integration tests, upgrade tests) but it really depends on what the PR is all about: bug fixes tend to be tested against the original bug first, then against a unit test that reproduces the original bug, then stress test the branch with a focused testing suite and let it simmer until the nightlies give the go-ahead (workflow also depends on how critical it is to get the patch out).",testing,,
737,Rarely I build the docs locally.  When I do a small fix through the GitHub online editor I do a preview of the change.,code review - self,,
738,run tests  view diffs,testing,code review - self,
739,Taking a thorough look at it. With my eyes.,code review - self,,
740,Contains tests.,testing,,
741,It usually compiles and works. But not always :-),building,,
742,I perform some live testing. There are no unit tests in  this project.,testing,testing - manual,
743,"PhpUnit, Selenium, normal testing...",testing,,
744,Local testing,testing,,
745,Good.,,,
746,asdf,,,
747,Look for other pull requests on the project.  Ask for guidance from the maintainer.,project compliance,advice,
748,test,testing,,
749,I take a quick look at my code. It's not failproof and certainly not a best practice.,code review - self,,
750,Reviewing it manually,code review - self,,
751,it's mainly bug fixing when I pull request... otherwise I have my own git server for my own (closed source) projects,,,
752,-,,,
753,"in this particular case, i needed a functionality in the repo and made changes to add the feature, tested it and created a pull request",testing,,
754,"I run test suite, I do use automated checking and run the software to see the bug is fixed.",testing,static analysis,
755,"Tests pass, no new functionality without tests, a integration test if it's entirely new functionality surfaced to the user, code is expressive.",testing,,
756,CI server and local tests,testing,continuous integration,
757,Re-read the diff.,code review - self,,
758,Using peer reviews,code review - self,,
759,assess?,,,
760,testing,testing,,
